wavelength fwhm
671.6733887 0.013113
671.7560059 0.026418
854.1984375 0.027605
854.8394531 0.021579
854.8957031 0.021798
857.2113281 0.022092
857.3446289 0.046043
857.3769531 0.070329
857.5732422 0.021934
857.7651367 0.021059
858.8024414 0.022003
858.8365234 0.020059
859.6674805 0.020685
859.7376953 0.020099
860.4169922 0.015718
860.4484375 0.029188
860.6257812 0.049862
860.7942383 0.025794
860.8349609 0.022085
860.9958984 0.020053
861.0559570 0.020906
861.2159180 0.021047
861.2963867 0.020840
861.4537109 0.021768
861.5565430 0.019870
861.7133789 0.021637
861.8370117 0.020173
862.1353516 0.019891
862.2900391 0.019803
862.4543945 0.020692
862.6066406 0.020644
862.7920898 0.020109
862.9424805 0.019532
863.1488281 0.020026
863.2974609 0.020180
863.5253906 0.020721
863.6713867 0.019920
670.4104492 0.016193
670.4700195 0.016370
670.7901855 0.011488
671.0174805 0.016727
671.1140137 0.006059
671.3873535 0.019693
671.4799316 0.022162
671.5808105 0.007220
671.6975098 0.005583
671.8970703 0.028271
672.0853027 0.039197
672.2797363 0.010402
672.3665039 0.029853
672.8891602 0.018839
673.0126953 0.022673
673.9698730 0.037081
674.0083008 0.016078
674.1859375 0.020482
674.2913086 0.020239
674.4229492 0.018681
674.4936035 0.017007
